epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2115.68,0.51364,0.56886,0.52468,0.00747,1.41955,0.88293,0.88954,0.94183,0.84908,0.8811,0.89317,0.94306,0.85483,0.46222,0.57637,0.42025,0.01165,0,0.0016436,0.0016436,0.0016436
29,2190.53,0.51117,0.56062,0.52246,0.0075,1.3691,0.88199,0.88387,0.94158,0.79999,0.88548,0.88109,0.94088,0.84405,0.60898,0.56972,0.42845,0.01741,0,0.0016304,0.0016304,0.0016304
30,2264.94,0.52185,0.55686,0.52773,0.00771,1.40103,0.76224,0.72285,0.80003,0.67371,0.76361,0.72415,0.7966,0.67002,0.73738,1.17348,0.86328,0.02213,0,0.0016172,0.0016172,0.0016172
31,2340.05,0.50414,0.55339,0.51179,0.00724,1.35112,0.83468,0.78407,0.86758,0.74526,0.84089,0.78103,0.87236,0.77178,0.66099,0.70429,0.68591,0.01882,0,0.001604,0.001604,0.001604
32,2414.87,0.4886,0.53106,0.5116,0.00705,1.417,0.88439,0.87492,0.94282,0.83966,0.87979,0.87742,0.94305,0.8742,0.50402,0.55828,0.41899,0.01278,0,0.0015908,0.0015908,0.0015908
33,2489.57,0.50684,0.56651,0.50786,0.00743,1.32067,0.8945,0.88434,0.94487,0.84066,0.89606,0.88467,0.9466,0.8601,0.51423,0.64098,0.41245,0.01346,0,0.0015776,0.0015776,0.0015776
34,2564.28,0.51373,0.57486,0.51547,0.00745,1.3614,0.89243,0.88239,0.9344,0.8202,0.89219,0.88186,0.93449,0.8551,0.52586,0.51766,0.44033,0.01408,0,0.0015644,0.0015644,0.0015644
35,2638.89,0.49803,0.53508,0.50682,0.00717,1.35308,0.87085,0.81027,0.89933,0.79677,0.87073,0.81186,0.89664,0.81809,0.56521,0.70864,0.61246,0.01604,0,0.0015512,0.0015512,0.0015512
36,2713.47,0.48447,0.54229,0.4997,0.00697,1.31148,0.8971,0.90067,0.95211,0.86596,0.89744,0.90116,0.95281,0.8817,0.46088,0.53318,0.3901,0.01171,0,0.001538,0.001538,0.001538
37,2788.24,0.49492,0.53459,0.49275,0.0073,1.27245,0.88854,0.90611,0.94942,0.84576,0.88842,0.90541,0.94883,0.86404,0.49335,0.56946,0.39247,0.01309,0,0.0015248,0.0015248,0.0015248
38,2863.32,0.48936,0.53685,0.49641,0.00698,1.31386,0.87533,0.91358,0.94563,0.86223,0.87721,0.9152,0.94694,0.87727,0.43671,0.55184,0.39148,0.01056,0,0.0015116,0.0015116,0.0015116
39,2938.18,0.49297,0.55009,0.50075,0.00699,1.34705,0.88135,0.88087,0.93579,0.82491,0.882,0.88152,0.93581,0.84377,0.5253,0.5846,0.44862,0.01419,0,0.0014984,0.0014984,0.0014984
40,3012.94,0.4758,0.54097,0.49226,0.00674,1.32919,0.89467,0.90234,0.95161,0.86774,0.89528,0.90547,0.95255,0.89742,0.44616,0.45949,0.37004,0.01114,0,0.0014852,0.0014852,0.0014852
41,3087.77,0.47732,0.53097,0.48326,0.00676,1.26852,0.8642,0.89799,0.93874,0.82006,0.8635,0.89815,0.93546,0.85158,0.53503,0.58678,0.42384,0.01487,0,0.001472,0.001472,0.001472
42,3162.42,0.48388,0.53771,0.48471,0.00689,1.31703,0.90784,0.91488,0.96164,0.86493,0.90816,0.9152,0.96141,0.89493,0.45084,0.4824,0.35402,0.01172,0,0.0014588,0.0014588,0.0014588
43,3236.83,0.48012,0.51709,0.48006,0.00687,1.22085,0.91405,0.89246,0.95883,0.87952,0.90073,0.90676,0.95441,0.89148,0.4273,0.50575,0.36948,0.01045,0,0.0014456,0.0014456,0.0014456
44,3311.17,0.47582,0.51803,0.46565,0.00669,1.20751,0.91002,0.89701,0.95248,0.85627,0.9141,0.89196,0.95136,0.87489,0.47088,0.52746,0.36602,0.01195,0,0.0014324,0.0014324,0.0014324
