epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
109,8156.08,0.36529,0.41514,0.33405,0.0047,0.85696,0.93494,0.95322,0.97481,0.93913,0.93399,0.95224,0.97427,0.93292,0.28801,0.4315,0.25876,0.0067,0,0.0005744,0.0005744,0.0005744
110,8230.65,0.35633,0.40678,0.33055,0.00464,0.8456,0.94095,0.94964,0.9749,0.94,0.9403,0.94899,0.974,0.93083,0.28093,0.48114,0.25869,0.00654,0,0.0005612,0.0005612,0.0005612
111,8305.33,0.35967,0.40736,0.32772,0.0046,0.8117,0.9463,0.94704,0.97342,0.94002,0.94597,0.94672,0.97343,0.93525,0.27997,0.4499,0.26672,0.00628,0,0.000548,0.000548,0.000548
112,8380.22,0.35959,0.41487,0.32736,0.00462,0.81417,0.95071,0.95062,0.97671,0.94567,0.94928,0.94852,0.97589,0.93877,0.27669,0.46546,0.24955,0.00627,0,0.0005348,0.0005348,0.0005348
113,8454.68,0.36375,0.41338,0.32661,0.00468,0.8242,0.94656,0.94997,0.97563,0.94016,0.94591,0.94932,0.97542,0.93233,0.27651,0.43551,0.26001,0.00633,0,0.0005216,0.0005216,0.0005216
114,8528.79,0.36471,0.42036,0.32718,0.00469,0.81372,0.94645,0.94997,0.97637,0.94226,0.94613,0.94964,0.97624,0.93476,0.27667,0.47141,0.25475,0.0062,0,0.0005084,0.0005084,0.0005084
115,8602.79,0.35697,0.41019,0.32068,0.00462,0.82636,0.94509,0.94496,0.97563,0.94025,0.94442,0.94408,0.97534,0.93467,0.29164,0.50673,0.25773,0.00692,0,0.0004952,0.0004952,0.0004952
116,8676.96,0.35487,0.41056,0.324,0.00449,0.82674,0.94756,0.94574,0.97613,0.94066,0.94676,0.94542,0.97589,0.93538,0.28283,0.48001,0.25686,0.00663,0,0.000482,0.000482,0.000482
117,8751.47,0.3466,0.40008,0.31932,0.00451,0.78248,0.93439,0.95647,0.97669,0.94464,0.93407,0.95614,0.9763,0.93783,0.27426,0.4502,0.25277,0.00645,0,0.0004688,0.0004688,0.0004688
118,8825.84,0.34808,0.40962,0.31835,0.00447,0.77558,0.94012,0.95894,0.97617,0.94343,0.93916,0.95797,0.976,0.93652,0.27229,0.47297,0.26052,0.00632,0,0.0004556,0.0004556,0.0004556
119,8900.42,0.34691,0.39743,0.31393,0.00443,0.77947,0.93824,0.95257,0.97641,0.94361,0.93792,0.95224,0.97618,0.937,0.28008,0.54411,0.24837,0.00652,0,0.0004424,0.0004424,0.0004424
120,8974.99,0.34452,0.40536,0.31668,0.00439,0.76895,0.93542,0.95536,0.97696,0.94502,0.93447,0.95438,0.97602,0.93953,0.27748,0.57186,0.24909,0.00645,0,0.0004292,0.0004292,0.0004292
121,9049.98,0.35137,0.41158,0.3091,0.00445,0.75973,0.94976,0.93972,0.97668,0.9459,0.93666,0.95354,0.97621,0.93702,0.2689,0.52777,0.25135,0.00614,0,0.000416,0.000416,0.000416
122,9124.16,0.34408,0.39302,0.30678,0.00443,0.74135,0.9486,0.94137,0.97676,0.94675,0.9477,0.94202,0.97605,0.93829,0.26743,0.50682,0.2485,0.00618,0,0.0004028,0.0004028,0.0004028
123,9197.85,0.34423,0.40716,0.30813,0.00431,0.74476,0.94175,0.95066,0.97599,0.94347,0.94135,0.94964,0.97571,0.93686,0.276,0.51024,0.24951,0.0064,0,0.0003896,0.0003896,0.0003896
124,9272.25,0.34751,0.40928,0.31122,0.0044,0.7654,0.9545,0.94044,0.97654,0.94459,0.95506,0.9389,0.97648,0.93558,0.26895,0.47247,0.25954,0.00609,0,0.0003764,0.0003764,0.0003764
125,9346.94,0.34013,0.40069,0.29872,0.00435,0.74335,0.94415,0.94412,0.9766,0.94547,0.94376,0.9432,0.97637,0.93629,0.26629,0.47874,0.2602,0.00598,0,0.0003632,0.0003632,0.0003632
126,9421.3,0.34322,0.39259,0.29599,0.00441,0.72163,0.94881,0.94537,0.97712,0.94702,0.94825,0.94509,0.97688,0.93689,0.26453,0.47371,0.25587,0.00602,0,0.00035,0.00035,0.00035
127,9495.36,0.34232,0.39759,0.30682,0.00431,0.75854,0.94767,0.94574,0.97675,0.94597,0.94667,0.94579,0.97638,0.93945,0.26586,0.44647,0.24189,0.00605,0,0.0003368,0.0003368,0.0003368
128,9569.46,0.33638,0.3936,0.30413,0.00422,0.74616,0.94503,0.94954,0.97742,0.94711,0.94503,0.94954,0.97732,0.93969,0.26279,0.3915,0.24925,0.0061,0,0.0003236,0.0003236,0.0003236
129,9643.81,0.33736,0.39371,0.29974,0.00427,0.70088,0.94411,0.95289,0.97778,0.9474,0.94397,0.95517,0.97761,0.94026,0.26195,0.36118,0.24654,0.00601,0,0.0003104,0.0003104,0.0003104
130,9718.7,0.33922,0.3979,0.30135,0.00427,0.73427,0.94862,0.94771,0.97669,0.94551,0.949,0.94922,0.97673,0.93848,0.26302,0.37493,0.24795,0.00614,0,0.0002972,0.0002972,0.0002972
131,9792.93,0.33891,0.38888,0.30129,0.0043,0.7187,0.95445,0.94626,0.97719,0.94668,0.9527,0.94878,0.97716,0.93936,0.25916,0.3769,0.24024,0.00586,0,0.000284,0.000284,0.000284
132,9867.09,0.3372,0.38878,0.30058,0.00422,0.7122,0.94556,0.95363,0.97749,0.94896,0.94498,0.95712,0.97726,0.94169,0.26037,0.3932,0.24137,0.00588,0,0.0002708,0.0002708,0.0002708
133,9941.54,0.33633,0.3942,0.29876,0.00425,0.73043,0.94806,0.94574,0.97705,0.94728,0.94806,0.94574,0.97656,0.93912,0.26054,0.3839,0.24589,0.00599,0,0.0002576,0.0002576,0.0002576
134,10015.7,0.33738,0.39898,0.29228,0.00426,0.69248,0.94634,0.94536,0.97654,0.94662,0.94634,0.94536,0.97606,0.93865,0.26449,0.37675,0.2539,0.00609,0,0.0002444,0.0002444,0.0002444
135,10089.8,0.33362,0.39577,0.28873,0.00417,0.71659,0.94439,0.9489,0.97653,0.94645,0.94406,0.94857,0.97612,0.938,0.26166,0.36934,0.25184,0.00601,0,0.0002312,0.0002312,0.0002312
136,10164.4,0.33148,0.38236,0.28521,0.00415,0.69004,0.94733,0.95192,0.97762,0.94999,0.94426,0.95218,0.97716,0.94104,0.25449,0.35905,0.24423,0.00578,0,0.000218,0.000218,0.000218
137,10239,0.32599,0.38374,0.29047,0.00407,0.71093,0.94453,0.95148,0.97691,0.94753,0.94352,0.94997,0.97645,0.93896,0.25401,0.37088,0.25627,0.0057,0,0.0002048,0.0002048,0.0002048
138,10313.4,0.32991,0.38749,0.28713,0.00411,0.70265,0.95169,0.94899,0.97699,0.94888,0.95073,0.94737,0.97616,0.93922,0.25287,0.37297,0.24758,0.00567,0,0.0001916,0.0001916,0.0001916
139,10388.2,0.33379,0.39069,0.29675,0.00416,0.70484,0.94195,0.95647,0.97716,0.94848,0.94067,0.95517,0.97627,0.93941,0.2551,0.39212,0.24287,0.00578,0,0.0001784,0.0001784,0.0001784
140,10462.3,0.33032,0.39423,0.29031,0.00419,0.69128,0.94564,0.94953,0.9771,0.94956,0.94435,0.94824,0.97624,0.94008,0.25378,0.38605,0.24469,0.00572,0,0.0001652,0.0001652,0.0001652
141,10537.3,0.28664,0.32408,0.239,0.00637,0.67612,0.95705,0.9386,0.97742,0.94631,0.95566,0.93825,0.97624,0.93965,0.27106,0.38709,0.25527,0.00614,0,0.000152,0.000152,0.000152
142,10606.4,0.25521,0.31584,0.203,0.00513,0.58329,0.95352,0.94639,0.977,0.94486,0.95225,0.94583,0.97611,0.93724,0.27383,0.39569,0.25445,0.00643,0,0.0001388,0.0001388,0.0001388
143,10675.7,0.24763,0.31391,0.19409,0.00487,0.57521,0.9479,0.95169,0.97725,0.94648,0.94693,0.95072,0.97608,0.93891,0.2627,0.39514,0.2521,0.00607,0,0.0001256,0.0001256,0.0001256
144,10745.2,0.24626,0.30751,0.18706,0.00488,0.5818,0.95257,0.94769,0.9778,0.94784,0.95126,0.94639,0.97652,0.93936,0.26179,0.38947,0.25007,0.00605,0,0.0001124,0.0001124,0.0001124
145,10814.5,0.24433,0.30986,0.18761,0.00469,0.56082,0.94721,0.95609,0.97803,0.95001,0.94648,0.95369,0.97703,0.94126,0.25529,0.39027,0.2468,0.00583,0,9.92e-05,9.92e-05,9.92e-05
146,10884.1,0.23714,0.30781,0.18398,0.00451,0.56986,0.94469,0.9545,0.9777,0.94909,0.94356,0.95159,0.97653,0.93939,0.25527,0.38846,0.2456,0.0058,0,8.6e-05,8.6e-05,8.6e-05
147,10953.5,0.23766,0.31243,0.18524,0.00455,0.54615,0.95209,0.9491,0.97786,0.94888,0.95106,0.94704,0.9769,0.93956,0.25472,0.38673,0.24394,0.00577,0,7.28e-05,7.28e-05,7.28e-05
148,11022.6,0.2333,0.30258,0.18173,0.00445,0.55752,0.94831,0.95374,0.97724,0.94965,0.94701,0.95226,0.97628,0.93903,0.25379,0.3883,0.24631,0.00576,0,5.96e-05,5.96e-05,5.96e-05
149,11092,0.23264,0.30137,0.17822,0.0044,0.54774,0.95323,0.94679,0.97796,0.95003,0.95192,0.94549,0.97712,0.94037,0.25271,0.38688,0.24434,0.00575,0,4.64e-05,4.64e-05,4.64e-05
150,11160.9,0.23252,0.3073,0.17409,0.00431,0.49339,0.95421,0.94793,0.9778,0.94921,0.95323,0.94695,0.97699,0.94048,0.25078,0.386,0.24621,0.0057,0,3.32e-05,3.32e-05,3.32e-05
